V,size,n_runs,params_median,tokens_seen_median,steps_completed_median,best_val_mse_mean,best_val_mse_std,best_val_mse_sem,best_val_gauss_nll_mean,best_val_gauss_nll_std,best_val_gauss_nll_sem
64,XXS,1,85.0,20480.0,20.0,1.0388842225074768,,,1.4380121703298006,,
128,XXS,1,149.0,32768.0,8.0,1.0592331886291504,,,1.4477112293243408,,
512,XXS,3,533.0,983040000.0,60000.0,2.101120653545857,0.03169271712363836,0.018297798762683268,1.7901361243766047,0.007528800128838486,0.004346754781059789
512,TINY,3,9953.0,983040000.0,60000.0,1.5999420868754388,0.009979378792896816,0.00576159703242422,1.653915752840706,0.003123262795245001,0.0018032166155846443
512,XS,3,132993.0,983040000.0,60000.0,1.5145855151395002,0.010829572314655516,0.006252456491074881,1.6265009408919393,0.003568331053411713,0.0020601768942449536
512,S,3,859137.0,983040000.0,60000.0,1.4822175225456558,0.008449274537948684,0.004878190928941723,1.6157027520958869,0.0028547575834240594,0.0016481950592610063
512,M,3,19178497.0,983040000.0,60000.0,1.4616235118468603,0.0028449409458167828,0.0016425274208959081,1.6087118074694189,0.0009737566332683629,0.000562198654342673
512,L,3,100510801.0,983040000.0,60000.0,1.4765000736713407,0.008531535002592718,0.00492568403034762,1.613770205704198,0.0028886873914201775,0.0016677844430411175
1024,XXS,1,1045.0,196608000.0,3000.0,1.41970993578434,,,1.5941648232910155,,
1024,XS,11,165761.0,98304000.0,3000.0,1.2703411715807595,0.2620237331778371,0.07900312810173485,1.530110827993925,0.09339095978356958,0.028158433855751914
1024,S,4,924673.0,504627200.0,15200.0,1.4406256231985395,0.3767860296773704,0.1883930148386852,1.5888704331314099,0.12896816486903534,0.06448408243451767
1024,M,2,19440641.0,1146880000.0,35000.0,1.1334899038791657,0.04496216432426568,0.031793051290512124,1.48139241370292,0.019838712660552166,0.01402808825228785
1024,L,1,101033041.0,655360000.0,20000.0,1.2061511988639833,,,1.51265576452413,,
1024,XL,1,341557249.0,655360000.0,20000.0,1.2585944329500198,,,1.5339363176509742,,
