V,x_axis,metric,run,size,seed,x,y,y_hat,residual_linear,residual_log
1024,params,best_val_gauss_nll,runs\bench_cpu_xs_300,XS,7,165761.0,1.508014581305428,1.5428098041540754,-0.034795222848647445,-0.0228113632717159
1024,params,best_val_gauss_nll,runs\demo_xs,XS,7,165761.0,1.477686894622551,1.5428098041540754,-0.06512290953152444,-0.0431273459905977
1024,params,best_val_gauss_nll,runs\smoke_xs,XS,7,165761.0,1.6309778334835703,1.5428098041540754,0.08816802932949486,0.05557443068315765
1024,params,best_val_gauss_nll,runs\cpu_parallel_xs_D10kV1024_S3000_seed11,XS,11,165761.0,1.457763116868472,1.5428098041540754,-0.0850466872856035,-0.05670215300846382
1024,params,best_val_gauss_nll,runs\cpu_seq_small_D10kV1024\XS_B32_S3000_seed12,XS,12,165761.0,1.456478668207469,1.5428098041540754,-0.08633113594660635,-0.05758365072821564
1024,params,best_val_gauss_nll,runs\cpu_seq_small_D10kV1024\XS_B32_S3000_seed13,XS,13,165761.0,1.4658438535388936,1.5428098041540754,-0.07696595061518186,-0.05117421623046492
1024,params,best_val_gauss_nll,runs\cpu_seq_small_D10kV1024\XXS_B64_S3000_seed21,XXS,21,1045.0,1.5941648232910155,1.5660855844592376,0.028079238831777875,0.017770729628423854
512,params,best_val_mse,runs\sweep_gpu_census200k_60k_tinyL\L_V512_B4x8_S60000_seed7,L,7,100510801.0,1.468128463435173,1.4596424254884892,0.008486037946683789,0.42802763616969175
512,params,best_val_mse,runs\sweep_gpu_census200k_60k_tinyL\L_V512_B4x8_S60000_seed8,L,8,100510801.0,1.4761887468099595,1.4596424254884892,0.01654632132147027,0.7137603056488016
512,params,best_val_mse,runs\sweep_gpu_census200k_60k_tinyL\L_V512_B4x8_S60000_seed9,L,9,100510801.0,1.4851830107688904,1.4596424254884892,0.02554058528040115,0.9585366083380791
512,params,best_val_mse,runs\sweep_gpu_census200k_60k_seeds\M_V512_B4x8_S60000_seed7,M,7,19178497.0,1.4633804253578186,1.4684548774844137,-0.005074452126595075,-0.23000129598572583
512,params,best_val_mse,runs\sweep_gpu_census200k_60k_seeds\M_V512_B4x8_S60000_seed8,M,8,19178497.0,1.4631489332437515,1.4684548774844137,-0.005305944240662219,-0.24186861796814307
512,params,best_val_mse,runs\sweep_gpu_census200k_60k_seeds\M_V512_B4x8_S60000_seed9,M,9,19178497.0,1.4583411769390107,1.4684548774844137,-0.01011370054540306,-0.5268016238736108
