V,x_axis,metric,n_points,alpha,a,c,r2_log,entropy_floor_bits_per_masked_pos,residual_pos_frac,residual_band_gap_log,residual_band_gap_over_std,two_band_signal
512,params,best_val_gauss_nll,18,0.18207240580588982,0.4007773529653751,1.5915124546243629,0.837556128132456,2.2960671257995897,0.3333333333333333,0.5389476010944599,1.6103121441144967,True
1024,params,best_val_gauss_nll,20,0.0029554636572721874,1.5985947429889684,0.0,0.02073049808131422,0.0,0.35,0.08486867257750645,1.5254657358989212,True
512,params,best_val_mse,18,0.26642859805500463,2.1527631574716932,1.4437577651696205,0.8579791737782294,2.312009938182331,0.3333333333333333,0.7060064849357389,1.5604238083158257,True
1024,params,best_val_mse,20,0.009413257978862092,1.4422793355315715,0.0,0.02093902431972028,,0.35,0.26567277237769144,1.506979534334719,True
512,tokens_seen,best_val_gauss_nll,18,0.03735051720784497,0.9981977899482358,1.186980860806799,4.440892098500626e-16,1.712451401516082,0.3333333333333333,0.15750817310397053,1.2581346827941713,True
1024,tokens_seen,best_val_gauss_nll,20,0.015323967008687697,2.0373112204801065,0.0,0.5762018584680826,0.0,0.6,0.059573495820031935,1.6277200908676168,True
512,tokens_seen,best_val_mse,18,0.060995206501542894,0.9970585827985867,1.2747560200828758,5.551115123125783e-16,2.2222061607625054,0.3333333333333333,0.7029258429740988,1.368294594257541,True
1024,tokens_seen,best_val_mse,20,0.048870983658188864,3.1260941256592005,0.0,0.5835155418505389,,0.6,0.18651514676623004,1.622108437619077,True
