run,run_name,data,size,seed,V,params,lr,batch_size,accum,eff_batch,steps_target,steps_completed,tokens_target,tokens_seen,n_history_rows,n_val_points,has_logged_gauss_nll,gauss_nll_source,best_step_mse,best_val_mse,best_step_mae,best_val_mae,best_step_gauss_nll,best_val_gauss_nll,val_mae_at_best_mse,val_gauss_nll_at_best_mse,final_step,final_val_mse,final_val_mae,final_val_gauss_nll
runs\sweep_gpu_census200k_60k_seeds\M_V512_B4x8_S60000_seed9,M_V512_B4x8_S60000_seed9,E:\Code\scalinglaws\scalinglaws\data\census_human.D200000.V512.log1p.h5ad,M,9,512,19178497,3.125e-05,4,8,32,60000,60000,983040000,983040000,362,61,False,derived_from_best_mse,59000,1.4583411769390107,55000,0.6053926933616399,-1,1.607588338004407,0.6837176281511783,1.607588338004407,60000,1.4939110637784003,0.8009000165343284,1.6196373112089668
runs\sweep_gpu_census200k_60k_tinyL\L_V512_B4x8_S60000_seed7,L_V512_B4x8_S60000_seed7,E:\Code\scalinglaws\scalinglaws\data\census_human.D200000.V512.log1p.h5ad,L,7,512,100510801,3.125e-05,4,8,32,60000,60000,983040000,983040000,2,2,False,derived_from_best_mse,60000,1.468128463435173,60000,0.6739123621702194,-1,1.610932750962496,0.6739123621702194,1.610932750962496,60000,1.468128463435173,0.6739123621702194,1.610932750962496
runs\sweep_gpu_census200k_60k_tinyL\L_V512_B4x8_S60000_seed8,L_V512_B4x8_S60000_seed8,E:\Code\scalinglaws\scalinglaws\data\census_human.D200000.V512.log1p.h5ad,L,8,512,100510801,3.125e-05,4,8,32,60000,60000,983040000,983040000,103,18,False,derived_from_best_mse,54000,1.4761887468099595,52000,0.6387854981184006,-1,1.6136703308272744,0.6414596340894699,1.6136703308272744,60000,1.4899633034348487,0.686390306454897,1.6183142787481046
runs\sweep_gpu_census200k_60k_tinyL\L_V512_B4x8_S60000_seed9,L_V512_B4x8_S60000_seed9,E:\Code\scalinglaws\scalinglaws\data\census_human.D200000.V512.log1p.h5ad,L,9,512,100510801,3.125e-05,4,8,32,60000,60000,983040000,983040000,365,61,False,derived_from_best_mse,53000,1.4851830107688904,38000,0.602743925049901,-1,1.616707535322823,0.6251141607999802,1.616707535322823,60000,1.5360471894919872,0.6250419990301133,1.6335447114942088
runs\cpu_seq_small_D10kV1024\XXS_B64_S3000_seed21,XXS_B64_S3000_seed21,E:\Code\scalinglaws\scalinglaws\data\census_subset.D10000.V1024.log1p.h5ad,XXS,21,1024,1045,0.00025,64,1,64,3000,3000,196608000,196608000,44,13,False,derived_from_best_mse,3000,1.41970993578434,250,0.6582560017704964,-1,1.5941648232910155,0.7534438818693161,1.5941648232910155,3000,1.41970993578434,0.7534438818693161,1.5941648232910155
runs\sweep_smoke\XS_V1024_B4x4_S30_seed1,XS_V1024_B4x4_S30_seed1,E:\Code\scalinglaws\scalinglaws\data\census_subset.D10000.V1024.log1p.h5ad,XS,1,1024,165761,1.5625e-05,4,4,16,30,30,491520,491520,8,4,False,derived_from_best_mse,30,1.8712498393058776,30,0.7993230757713318,-1,1.7322418186428803,0.7993230757713318,1.7322418186428803,30,1.8712498393058776,0.7993230757713318,1.7322418186428803
runs\sweep_20250821_212937\XS_seed1,XS_seed1,,XS,1,1024,165761,0.00025,4,1,4,-1,15000,-1,61440000,3002,1501,False,derived_from_best_mse,14570,1.0959216910998026,12690,0.5149497655630112,-1,1.4647364013280293,0.5759687512715658,1.4647364013280293,15000,1.0986017099221548,0.5522659951845805,1.4659576323950736
runs\sweep_gpu_scaling_XSSM\XS_V1024_B4x8_S20000_seed7,XS_V1024_B4x8_S20000_seed7,E:\Code\scalinglaws\scalinglaws\data\census_subset.D10000.V1024.log1p.h5ad,XS,7,1024,165761,3.125e-05,4,8,32,20000,20000,655360000,655360000,112,11,False,derived_from_best_mse,20000,1.1875597891807557,12000,0.6009297544956207,-1,1.5048888354261707,0.6366298968791961,1.5048888354261707,20000,1.1875597891807557,0.6366298968791961,1.5048888354261707
runs\sweep_gpu_census50k\XS_V1024_B4x8_S30000_seed7,XS_V1024_B4x8_S30000_seed7,E:\Code\scalinglaws\scalinglaws\data\census_subset.D50000.V1024.log1p.h5ad,XS,7,1024,165761,3.125e-05,4,8,32,30000,30000,983040000,983040000,332,31,False,derived_from_best_mse,30000,1.1605063696861266,8000,0.5831694782733917,-1,1.4933667509347646,0.5956281381607056,1.4933667509347646,30000,1.1605063696861266,0.5956281381607056,1.4933667509347646
runs\sweep_gpu_scaling\XS_V1024_B8x8_S400_seed7,XS_V1024_B8x8_S400_seed7,E:\Code\scalinglaws\scalinglaws\data\census_subset.D10000.V1024.log1p.h5ad,XS,7,1024,165761,6.25e-05,8,8,64,400,400,26214400,26214400,17,6,False,derived_from_best_mse,320,1.5535826342446464,80,0.7890919957842145,-1,1.639220353574948,0.7977730480451433,1.639220353574948,400,1.556727715900966,0.8591643382632543,1.640231533288286
runs\bench_cpu_xs,bench_cpu_xs,,XS,7,1024,165761,0.00025,32,1,32,-1,150,-1,4915200,11,4,False,derived_from_best_mse,150,1.2189636304974556,100,0.6397237069904804,-1,1.517939040470193,0.6666031703352928,1.517939040470193,150,1.2189636304974556,0.6666031703352928,1.517939040470193
runs\bench_cpu_xs_300,bench_cpu_xs_300,,XS,7,1024,165761,0.00025,32,1,32,-1,300,-1,9830400,17,6,False,derived_from_best_mse,300,1.195007063448429,120,0.5578539073467255,-1,1.508014581305428,0.6405991613864899,1.508014581305428,300,1.195007063448429,0.6405991613864899,1.508014581305428
