run,size,params,V,batch,accum,eff_batch,steps,step_best,lr,val_mse,val_mae,tokens
runs\bench_cpu_xs,XS,165761,1024,32,1,32,-1,150,0.00025,1.2189636304974556,0.6666031703352928,
runs\bench_cpu_xs_300,XS,165761,1024,32,1,32,-1,300,0.00025,1.195007063448429,0.6405991613864899,
runs\bench_gpu_xs,XS,165761,1024,32,1,32,-1,150,0.00025,1.227893814444542,0.6219205223023891,
runs\bench_gpu_xs_300,XS,165761,1024,32,1,32,-1,300,0.00025,1.2120021060109138,0.5941910855472088,
runs\cpu_parallel_xs_D10kV1024_S3000_seed11,XS,165761,1024,32,1,32,-1,3000,0.00025,1.080743432044983,0.5529994070529938,
runs\cpu_seq_small_D10kV1024\XS_B32_S3000_seed12,XS,165761,1024,32,1,32,3000,3000,0.00025,1.077970676124096,0.5898733306676149,98304000
runs\cpu_seq_small_D10kV1024\XS_B32_S3000_seed13,XS,165761,1024,32,1,32,3000,3000,0.00025,1.0983517430722713,0.5528043303638697,98304000
runs\cpu_seq_small_D10kV1024\XXS_B64_S3000_seed21,XXS,1045,1024,64,1,64,3000,3000,0.00025,1.41970993578434,0.7534438818693161,196608000
runs\demo_xs,XS,165761,1024,4,1,4,-1,14920,0.00025,1.1246779441833497,0.5814880062739054,
runs\quick_gpu_xs,XS,165761,1024,32,1,32,-1,200,0.00025,1.2030946798622608,0.6180672626942396,
runs\quick_gpu_xs_100,XS,165761,1024,32,1,32,-1,100,0.00025,1.2273444011807442,0.6393141560256481,
runs\smoke_xs,XS,165761,1024,4,1,4,-1,50,0.00025,1.5281817049980164,0.8504020347595215,
runs\sweep_20250821_212937\XS_seed1,XS,165761,1024,4,1,4,-1,14570,0.00025,1.0959216910998026,0.5759687512715658,
runs\sweep_gpu_census200k\M_V512_B4x8_S30000_seed7,M,19178497,512,4,8,32,30000,29000,3.125e-05,1.5088278781294822,0.6951912202477455,491520000
runs\sweep_gpu_census200k\S_V512_B4x8_S30000_seed7,S,859137,512,4,8,32,30000,30000,3.125e-05,1.5178403814792634,0.6651030291795731,491520000
runs\sweep_gpu_census200k\XS_V512_B4x8_S30000_seed7,XS,132993,512,4,8,32,30000,30000,3.125e-05,1.577455768316984,0.6903393302321434,491520000
runs\sweep_gpu_census200k_60k_seeds\M_V512_B4x8_S60000_seed7,M,19178497,512,4,8,32,60000,57000,3.125e-05,1.4633804253578186,0.7016450500309467,983040000
runs\sweep_gpu_census200k_60k_seeds\M_V512_B4x8_S60000_seed8,M,19178497,512,4,8,32,60000,54000,3.125e-05,1.4631489332437515,0.6355691413789988,983040000
runs\sweep_gpu_census200k_60k_seeds\M_V512_B4x8_S60000_seed9,M,19178497,512,4,8,32,60000,59000,3.125e-05,1.4583411769390107,0.6837176281511783,983040000
runs\sweep_gpu_census200k_60k_seeds\S_V512_B4x8_S60000_seed7,S,859137,512,4,8,32,60000,58000,3.125e-05,1.4878523830831052,0.661843867173791,983040000
runs\sweep_gpu_census200k_60k_seeds\S_V512_B4x8_S60000_seed8,S,859137,512,4,8,32,60000,56000,3.125e-05,1.4725025202214719,0.6544445028185845,983040000
runs\sweep_gpu_census200k_60k_seeds\S_V512_B4x8_S60000_seed9,S,859137,512,4,8,32,60000,56000,3.125e-05,1.4862976643323897,0.6404026761293411,983040000
runs\sweep_gpu_census200k_60k_seeds\XS_V512_B4x8_S60000_seed7,XS,132993,512,4,8,32,60000,60000,3.125e-05,1.526984889882803,0.6432405509352684,983040000
runs\sweep_gpu_census200k_60k_seeds\XS_V512_B4x8_S60000_seed8,XS,132993,512,4,8,32,60000,59000,3.125e-05,1.5069818099617958,0.677936084407568,983040000
runs\sweep_gpu_census200k_60k_seeds\XS_V512_B4x8_S60000_seed9,XS,132993,512,4,8,32,60000,57000,3.125e-05,1.509789845573902,0.6694373017907143,983040000
runs\sweep_gpu_census200k_60k_tinyL\L_V512_B4x8_S60000_seed7,L,100510801,512,4,8,32,60000,60000,3.125e-05,1.468128463435173,0.6739123621702194,983040000
