size,n_runs,seeds_present,missing_seeds,min_steps_completed,all_at_least_60000,dataset_count
L,3,"7,8,9",,60000,True,1
M,3,"7,8,9",,60000,True,1
S,3,"7,8,9",,60000,True,1
XS,3,"7,8,9",,60000,True,1
