run,size,params,V,batch,accum,eff_batch,steps,step_best,lr,val_mse,val_mae,tokens
runs\bench_cpu_xs,XS,165761,1024,32,1,32,-1,150,0.00025,1.2189636304974556,0.6666031703352928,
runs\bench_cpu_xs_300,XS,165761,1024,32,1,32,-1,300,0.00025,1.195007063448429,0.6405991613864899,
runs\bench_gpu_xs,XS,165761,1024,32,1,32,-1,150,0.00025,1.227893814444542,0.6219205223023891,
runs\bench_gpu_xs_300,XS,165761,1024,32,1,32,-1,300,0.00025,1.2120021060109138,0.5941910855472088,
runs\demo_xs,XS,165761,1024,4,1,4,-1,14920,0.00025,1.1246779441833497,0.5814880062739054,
runs\quick_gpu_xs,XS,165761,1024,32,1,32,-1,200,0.00025,1.2030946798622608,0.6180672626942396,
runs\quick_gpu_xs_100,XS,165761,1024,32,1,32,-1,100,0.00025,1.2273444011807442,0.6393141560256481,
runs\smoke_xs,XS,165761,1024,4,1,4,-1,50,0.00025,1.5281817049980164,0.8504020347595215,
runs\sweep_20250821_212937\XS_seed1,XS,165761,1024,4,1,4,-1,14570,0.00025,1.0959216910998026,0.5759687512715658,
runs\sweep_gpu_census200k\M_V512_B4x8_S30000_seed7,M,19178497,512,4,8,32,30000,29000,3.125e-05,1.5088278781294822,0.6951912202477455,491520000
runs\sweep_gpu_census200k\S_V512_B4x8_S30000_seed7,S,859137,512,4,8,32,30000,30000,3.125e-05,1.5178403814792634,0.6651030291795731,491520000
runs\sweep_gpu_census200k\XS_V512_B4x8_S30000_seed7,XS,132993,512,4,8,32,30000,30000,3.125e-05,1.577455768316984,0.6903393302321434,491520000
runs\sweep_gpu_census200k_60k_seeds\M_V512_B4x8_S60000_seed7,M,19178497,512,4,8,32,60000,57000,3.125e-05,1.4633804253578186,0.7016450500309467,983040000
runs\sweep_gpu_census200k_60k_seeds\M_V512_B4x8_S60000_seed8,M,19178497,512,4,8,32,60000,54000,3.125e-05,1.4631489332437515,0.6355691413789988,983040000
runs\sweep_gpu_census200k_60k_seeds\M_V512_B4x8_S60000_seed9,M,19178497,512,4,8,32,60000,59000,3.125e-05,1.4583411769390107,0.6837176281511783,983040000
runs\sweep_gpu_census200k_60k_seeds\S_V512_B4x8_S60000_seed7,S,859137,512,4,8,32,60000,58000,3.125e-05,1.4878523830831052,0.661843867173791,983040000
runs\sweep_gpu_census200k_60k_seeds\S_V512_B4x8_S60000_seed8,S,859137,512,4,8,32,60000,56000,3.125e-05,1.4725025202214719,0.6544445028185845,983040000
runs\sweep_gpu_census200k_60k_seeds\S_V512_B4x8_S60000_seed9,S,859137,512,4,8,32,60000,56000,3.125e-05,1.4862976643323897,0.6404026761293411,983040000
runs\sweep_gpu_census200k_60k_seeds\XS_V512_B4x8_S60000_seed7,XS,132993,512,4,8,32,60000,60000,3.125e-05,1.526984889882803,0.6432405509352684,983040000
runs\sweep_gpu_census200k_60k_seeds\XS_V512_B4x8_S60000_seed8,XS,132993,512,4,8,32,60000,59000,3.125e-05,1.5069818099617958,0.677936084407568,983040000
runs\sweep_gpu_census200k_60k_seeds\XS_V512_B4x8_S60000_seed9,XS,132993,512,4,8,32,60000,57000,3.125e-05,1.509789845573902,0.6694373017907143,983040000
runs\sweep_gpu_census50k\M_V1024_B4x8_S30000_seed7,M,19440641,1024,4,8,32,30000,30000,3.125e-05,1.1016968525886535,0.5538703483104706,983040000
runs\sweep_gpu_census50k\S_V1024_B4x8_S30000_seed7,S,924673,1024,4,8,32,30000,30000,3.125e-05,1.1285268701553344,0.5768051298856736,983040000
runs\sweep_gpu_census50k\XS_V1024_B4x8_S30000_seed7,XS,165761,1024,4,8,32,30000,30000,3.125e-05,1.1605063696861266,0.5956281381607056,983040000
runs\sweep_gpu_long_M\M_V1024_B4x8_S40000_seed7,M,19440641,1024,4,8,32,40000,40000,3.125e-05,1.1652829551696777,0.5780633962154389,1310720000
runs\sweep_gpu_long_S\S_V1024_B4x8_S60000_seed7,S,924673,1024,4,8,32,60000,58000,3.125e-05,1.1402008805274964,0.6226713206768036,1966080000
runs\sweep_gpu_scaling\S_V1024_B8x8_S400_seed7,S,924673,1024,8,8,64,400,320,6.25e-05,1.5877491254655143,0.9039682736472477,26214400
runs\sweep_gpu_scaling\XS_V1024_B8x8_S400_seed7,XS,165761,1024,8,8,64,400,320,6.25e-05,1.5535826342446464,0.7977730480451433,26214400
runs\sweep_gpu_scaling_L\L_V1024_B4x8_S20000_seed7,L,101033041,1024,4,8,32,20000,20000,3.125e-05,1.2061511988639833,0.7137250645160675,655360000
runs\sweep_gpu_scaling_XL\XL_V1024_B2x16_S20000_seed7,XL,341557249,1024,2,16,32,20000,16000,3.125e-05,1.2585944329500198,0.6190887348651886,655360000
runs\sweep_gpu_scaling_XSSM\M_V1024_B4x8_S20000_seed7,M,19440641,1024,4,8,32,20000,16000,3.125e-05,1.2079644384384156,0.6288298106193543,655360000
runs\sweep_gpu_scaling_XSSM\S_V1024_B4x8_S20000_seed7,S,924673,1024,4,8,32,20000,20000,3.125e-05,1.1916117253303529,0.6112405822277069,655360000
runs\sweep_gpu_scaling_XSSM\XS_V1024_B4x8_S20000_seed7,XS,165761,1024,4,8,32,20000,20000,3.125e-05,1.1875597891807557,0.6366298968791961,655360000
runs\sweep_smoke\S_V1024_B4x4_S30_seed1,S,924673,1024,4,4,16,30,30,1.5625e-05,1.906025616645813,1.1304660811424256,491520
runs\sweep_smoke\XS_V1024_B4x4_S30_seed1,XS,165761,1024,4,4,16,30,30,1.5625e-05,1.8712498393058776,0.7993230757713318,491520
